company,ticker,rank,total_score,valuation_score,reverse_dcf_score,normalization_confidence,confidence_reasons,size_bucket,discount_rate,reinvestment_roic,net_reinvestment_rate,ebit_margin_3y,ebit_margin_5y,reported_fcf_margin_3y,reported_fcf_margin_5y,operating_cash_flow_margin_3y,operating_cash_flow_margin_5y,negative_fcf_years,fcf_margin_stddev,material_window_disagreement,material_aggregate_investing,revenue_growth_status,revenue_growth_implied,ebit_margin_status,ebit_margin_implied,terminal_growth_status,terminal_growth_implied
CellaVision,CEVI,38,55.9,37.8,0.3,medium,,small,0.133,0.15410550117492675,0.07780505143528452,0.2532091058958638,0.2579383361520879,0.16101098412580808,0.14574794092207458,0.2757191546112953,0.26525619952621143,0,0.023201862610076833,False,False,outside_bounds,,outside_bounds,,outside_bounds,
Cheffelo,CHEF,39,55.8,39.4,0.3,low,reported FCF is non-positive in 2 observed year(s) | annual reported FCF margins are highly volatile,small,0.133,0.17256580352783202,0.0010885638299301553,0.04479170826562303,0.007564322888525583,0.07903443318414027,0.03190784772355711,0.09015479419652321,0.05781478215098667,2,0.057779679164574146,False,False,outside_bounds,,solved,0.17091752216219902,outside_bounds,
Upsales,UPSALE,40,54.7,46.0,3.3,low,positive Börsdata ROIC unavailable for reinvestment calibration,micro,0.138,,0.0,0.18046270324988928,0.17912369310866827,0.12596748001771518,0.15768996788478132,0.20730961469515155,0.24389174200302757,0,0.07436199821238516,False,False,solved,0.2267229914665222,solved,0.3253641277551651,outside_bounds,
Dynavox Group,DYVOX,41,54.0,37.0,0.5,low,reported FCF is non-positive in 4 observed year(s) | annual reported FCF margins are highly volatile | aggregate investing cash flow is material and may include acquisitions or disposals,lower_mid,0.128,0.1351675033569336,0.07570396579684505,0.10541969596827495,0.09582780480613297,-0.02280237937871778,-0.058086392451717525,0.12491738268341045,0.12144331416777236,4,0.0974459395006879,False,True,outside_bounds,,solved,0.3420333191752434,outside_bounds,
Revolutionrace,RVRC,43,53.7,26.3,7.6,medium,,lower_mid,0.128,0.3440748977661133,0.05661200367837719,0.19759804841433665,0.21616735875502693,0.13829986864327265,0.13364073409397556,0.1418652655282417,0.13698109747311335,0,0.0678218935188711,False,False,solved,0.23250876665115355,solved,0.32556411623954773,outside_bounds,
Scandic Hotels,SHOT,44,52.5,59.2,0.1,medium,,lower_mid,0.128,0.015914369821548462,0.08513707804030722,0.1251000709937616,0.10776845321557876,0.24985272570729422,0.26710336312077515,0.29065148105070765,0.30737919343699643,0,0.03038763268674045,False,False,outside_bounds,,solved,0.3575168251991272,outside_bounds,
Berner Industrier,BERNER B,46,51.5,27.9,0.7,low,reported FCF is non-positive in 1 observed year(s),small,0.133,0.15710410118103027,0.019530462931146606,0.07679398881464713,0.06512690715343221,0.07956121634719117,0.05269550261970407,0.0963323960834141,0.07285082314559525,1,0.04209604005082474,False,False,outside_bounds,,solved,0.22400407493114471,outside_bounds,
MedCap,MCAP,47,51.5,21.0,0.7,low,reported FCF is non-positive in 1 observed year(s) | annual reported FCF margins are highly volatile,lower_mid,0.128,0.12398309707641601,0.11304201986582765,0.1430735776415229,0.1430911643871236,0.04603949807500357,0.04410005720526288,0.1658883502067589,0.14723854594622704,1,0.04768758873489597,False,False,outside_bounds,,solved,0.38151714764535427,outside_bounds,
BioArctic,BIOA B,48,51.4,15.5,0.8,low,reported FCF is non-positive in 4 observed year(s) | annual reported FCF margins are highly volatile | three- and five-year normalized margins materially disagree | aggregate investing cash flow is material and may include acquisitions or disposals,upper_mid,0.123,0.19792739868164064,0.15,0.4460010985419984,0.3593193939529346,0.0757611575017208,0.009147518903063735,0.49148282311387986,0.3963084367190217,4,2.115777746911058,True,True,outside_bounds,,outside_bounds,,outside_bounds,
C-RAD,CRAD B,49,51.2,26.4,2.5,low,reported FCF is non-positive in 1 observed year(s) | annual reported FCF margins are highly volatile,small,0.133,0.20826379776000978,0.06269990363324611,0.12923998502433545,0.121390937829294,0.06746536877573941,0.05316122233930453,0.10056158742044177,0.08540569020021074,1,0.038021575748515654,False,False,outside_bounds,,solved,0.26134181022644043,outside_bounds,
