company,ticker,old_rank,new_rank,rank_improvement,old_total_score,new_total_score,old_reverse_dcf_score,new_reverse_dcf_score,old_dcf_status,size_bucket,baseline_discount_rate,current_ebit_margin,normalized_ebit_margin_5y,current_fcf_margin,normalized_fcf_margin_5y,ebit_3y_margin,ebit_5y_margin,fcf_3y_margin,fcf_5y_margin,negative_fcf_years,fcf_margin_stdev,fcf_margin_range,fcf_sign_changes,fcf_unreliable,old_implied_revenue_growth,new_implied_revenue_growth,old_implied_ebit_margin,new_implied_ebit_margin,new_outside_bounds_count
Attendo,ATT,42,53,-11,51.8,47.6,83.8,12.5,available,lower_mid,0.128,0.10064386742664133,0.07109136351013608,0.14724509183027232,0.092848604856139,0.08157110609480812,0.07109136351013608,0.10441534988713318,0.092848604856139,0,0.028713659884092836,0.0682718554335947,0,False,0.018696977198123924,0.18182355761528013,0.057016488164663315,0.11805180460214615,1
Catella B,CAT B,37,54,-17,53.0,47.5,91.6,0.9,available,small,0.133,0.14215445154943435,0.136003600360036,0.5135268076733891,-0.057335733573357334,0.08314707197139025,0.136003600360036,0.11682312621069885,-0.057335733573357334,2,0.451703263179067,1.3826346322388006,3,True,outside_bounds,outside_bounds,0.042633652687072754,0.33696800470352173,2
Mildef Group,MILDEF,60,55,5,47.4,47.3,1.8,0.3,available,lower_mid,0.128,0.1439900774261445,0.024938456598522958,0.050853191009546724,-0.24233829248278568,0.025810706326465642,0.024938456598522958,-0.14501751034702326,-0.24233829248278568,4,0.2853515640771689,0.7396444297349087,2,True,outside_bounds,outside_bounds,0.32479860819876194,outside_bounds,3
Mips,MIPS,57,56,1,48.2,46.5,,0.9,unavailable,lower_mid,0.128,0.3443609022556391,0.3753930817610063,-0.37894736842105264,0.0994496855345912,0.29133284777858703,0.3753930817610063,-0.16533139111434814,0.0994496855345912,2,0.3774714672161032,0.9647045028142589,3,True,unavailable,outside_bounds,unavailable,outside_bounds,3
Infrea,INFREA,50,57,-7,50.2,46.0,98.9,29.5,available,micro,0.138,0.01632458233890215,0.017349698356563345,0.09002386634844868,0.027595173705013524,0.00864854437603485,0.017349698356563345,0.05198771842397157,0.027595173705013524,1,0.058407706281019676,0.17961445238662893,1,True,outside_bounds,0.03561964035034179,outside_bounds,0.02333066239953041,1
Railcare,RAIL,52,58,-6,49.8,45.5,77.5,5.4,available,micro,0.138,0.1142223761690336,0.10685519957043137,0.17512989262209908,0.10373325439550606,0.10402923229158077,0.10685519957043137,0.11636224952585139,0.10373325439550606,0,0.05000315536807832,0.14430509697239013,0,False,0.052004837989807116,0.23887339830398557,0.07781144604086876,0.18788786977529526,1
Prevas,PREV B,55,59,-4,48.6,44.6,70.0,3.1,available,micro,0.138,0.062183109464258146,0.09477800558766165,0.05606299212598425,0.03879318715892097,0.08320578023114963,0.09477800558766165,0.04386904217022644,0.03879318715892097,1,0.04818428895884482,0.14026309111709717,2,True,0.03264009356498718,0.23486646413803103,0.05169750563800335,0.1359718292951584,1
ShaMaran Petroleum,SNM SDB,56,60,-4,48.4,44.4,,4.3,unavailable,small,0.133,0.46204647310269337,0.3540609116715046,-0.03223683237438803,0.3642967396339401,0.25707115671072006,0.3540609116715046,0.5184957891431057,0.3642967396339401,1,0.3455335310651034,0.9626917079510414,2,True,unavailable,0.05452537536621092,unavailable,outside_bounds,2
Byggmax,BMAX,63,61,2,46.8,43.8,60.3,11.0,available,small,0.133,0.05586139896373057,0.05729213584361769,0.1169041450777202,0.08158424165991052,0.03305334351478128,0.05729213584361769,0.11677757172466456,0.08158424165991052,0,0.03976272829611888,0.09891148952204919,0,False,-0.06908032298088074,0.04517992138862609,0.04617215692996979,0.10602934658527374,1
Karnell Group,KARNEL B,64,62,2,44.4,43.4,,0.3,unavailable,small,0.133,0.1351309786230584,0.11194168304294337,-0.12897934074947454,-0.14570593310553645,0.11617653323488064,0.11194168304294337,-0.07368568034117642,-0.14570593310553645,5,0.15718677842887746,0.3805851783784396,0,True,unavailable,outside_bounds,unavailable,0.4337843507528305,2
HMS Networks,HMS,65,63,2,43.6,43.3,5.5,0.2,available,upper_mid,0.123,0.24271079590228525,0.2204540632293656,0.22484896243761493,-0.1597001202348115,0.20888106821240038,0.2204540632293656,-0.28268295207535454,-0.1597001202348115,1,0.5650103098777677,1.4683059644346126,2,True,0.24793408140540119,outside_bounds,0.41165770776569843,outside_bounds,3
Sotkamo Silver,SOSI,61,64,-3,47.3,43.2,69.8,0.0,available,small,0.133,0.3353987925007944,0.04083177711603493,0.2387988560533842,0.008580225104729215,0.08908685968819599,0.04083177711603493,0.06318568011218345,0.008580225104729215,3,0.107925436058744,0.28463682836800563,2,True,-0.021457672119140632,outside_bounds,0.2973717451095581,0.40236544609069824,2
Haypp Group,HAYPP,68,65,3,42.8,42.7,2.9,0.9,available,small,0.133,0.008488639264743426,0.008744419014386965,0.02005803106773237,-0.015308300739804699,0.013405418814051301,0.008744419014386965,0.012521473846336117,-0.015308300739804699,2,0.05491948245986712,0.15010317822437014,1,True,outside_bounds,outside_bounds,0.047475879080593586,0.12117381580173969,2
Hanza,HANZA,62,66,-4,47.2,42.3,82.2,0.7,available,lower_mid,0.128,0.06534158533682456,0.0616506903568227,0.07355391573434897,-0.009073532132066613,0.06518410013982288,0.0616506903568227,-0.008722285105532992,-0.009073532132066613,5,0.0028981317120623006,0.00864233521728091,0,True,0.08050199151039122,outside_bounds,0.042769051156938076,0.17037714645266533,2
FM Mattsson,FMM B,69,67,2,42.2,41.8,8.8,1.6,available,small,0.133,0.09132924746307647,0.11577248044950418,0.1060484276097659,0.08324422919680484,0.0913456555536362,0.11577248044950418,0.10735878390050095,0.08324422919680484,0,0.037655264521621525,0.10108443035849522,0,False,0.11417595148086546,0.2800916314125061,0.1657179519534111,0.3042566627264023,1
Vitec Software,VIT B,66,68,-2,43.5,41.8,,0.3,unavailable,lower_mid,0.128,0.20525385171049368,0.1967685882616153,-0.16520037519811107,-0.29372883883958534,0.21316256846620768,0.1967685882616153,-0.21755463971157307,-0.29372883883958534,5,0.1782081544431823,0.5528524172951141,0,True,unavailable,outside_bounds,unavailable,0.4680961351841688,2
Systemair,SYSR,70,69,1,41.5,41.5,2.3,2.0,available,lower_mid,0.128,0.09068441216697193,0.09137204441630413,0.039383493165476256,0.04711743360361648,0.08626904977766264,0.09137204441630413,0.05781580537926865,0.04711743360361648,1,0.03901229187542364,0.10611381365777345,1,True,outside_bounds,outside_bounds,0.19413180276751518,0.23837292939424515,2
Scandi Standard,SCST,72,70,2,41.2,41.2,1.0,1.1,available,lower_mid,0.128,0.04700006841349114,0.03329120606632645,0.006020387220359855,0.01148634596618087,0.03898524076926899,0.03329120606632645,0.011230929781841674,0.01148634596618087,1,0.017754194767025,0.05492362891998672,2,True,outside_bounds,outside_bounds,0.10946318507194519,0.11391449812799692,2
Eniro,ENRO,71,71,0,41.3,40.6,14.7,2.8,available,micro,0.138,0.04786150712830957,0.02103697407564811,0.04073319755600815,0.04483637909052274,0.045125732001377886,0.02103697407564811,0.05304857044436789,0.04483637909052274,0,0.02232867947654903,0.05767372723894463,0,False,0.07655968666076658,0.15726525783538822,0.06842649728059769,0.07001892477273941,1
Thule,THULE,74,72,2,40.6,40.4,3.0,0.2,available,upper_mid,0.123,0.16568504393164044,0.17557328819570386,0.10147726175533456,0.04803933421996534,0.16036698508693562,0.17557328819570386,0.0552195725379699,0.04803933421996534,1,0.08399731875836976,0.2577942887332779,2,True,0.19903293848037718,outside_bounds,0.31267954036593437,0.46880657970905304,2
Ambea,AMBEA,79,73,6,39.3,40.1,1.3,14.7,available,lower_mid,0.128,0.08760429082240763,0.0738473617633802,0.039928486293206195,0.0913532140104977,0.08240463894174141,0.0738473617633802,0.09302799673824409,0.0913532140104977,0,0.026572861834028055,0.07136286174015383,0,False,0.29312791973352426,0.15755953490734098,0.15236037597060204,0.11545309983193874,1
SkiStar,SKIS B,76,74,2,39.9,39.6,5.0,0.2,available,lower_mid,0.128,0.17012308794438247,0.1606998539056915,0.13529497960745365,0.0809113798141183,0.15596826264267488,0.1606998539056915,0.08496284830401755,0.0809113798141183,1,0.07338994899378075,0.19361349404382536,2,True,0.1753843918442726,outside_bounds,0.29177018254995346,0.4552887976169586,2
Ellos Holding,ELLOS,67,75,-8,43.4,39.5,64.5,0.7,available,small,0.133,0.03890081580077286,0.018410791025678525,0.09148418491484185,0.027124387114683037,0.03110684614729972,0.018410791025678525,0.05908344362568878,0.027124387114683037,2,0.04821409302770196,0.11334146380159343,1,True,-0.04219827950000764,outside_bounds,0.027448249980807304,0.11120884120464325,2
